epoch,step,train_acc,train_loss_epoch,train_loss_step,val_acc,val_f1,val_loss
0,9,,,2.0294647216796875,,,
0,19,,,1.973520278930664,,,
0,29,,,1.8490066528320312,,,
0,39,,,2.0400352478027344,,,
0,49,,,1.6419944763183594,,,
0,59,,,1.8060722351074219,,,
0,69,,,1.6484642028808594,,,
0,79,,,1.58514404296875,,,
0,89,,,1.5917549133300781,,,
0,99,,,1.5976238250732422,,,
0,109,,,1.4557647705078125,,,
0,119,,,1.4197759628295898,,,
0,129,,,1.4627914428710938,,,
0,139,,,1.4606971740722656,,,
0,149,,,1.0942450761795044,,,
0,159,,,1.386688232421875,,,
0,169,,,1.3093690872192383,,,
0,179,,,1.2588014602661133,,,
0,189,,,1.6672391891479492,,,
0,199,,,1.3652877807617188,,,
0,209,,,1.42364501953125,,,
0,219,,,1.241929531097412,,,
0,229,,,1.6556816101074219,,,
0,239,,,1.323775291442871,,,
0,249,,,1.1155238151550293,,,
0,259,,,1.0572824478149414,,,
0,269,,,1.3305115699768066,,,
0,279,,,1.034265160560608,,,
0,289,,,1.6358203887939453,,,
0,299,,,1.3207287788391113,,,
0,309,,,1.3669438362121582,,,
0,319,,,1.1437568664550781,,,
0,329,,,1.0392789840698242,,,
0,339,,,1.4031481742858887,,,
0,349,,,1.367896556854248,,,
0,359,,,1.2049686908721924,,,
0,369,,,1.5283489227294922,,,
0,379,,,1.365415096282959,,,
0,389,,,1.0215682983398438,,,
0,399,,,1.3595733642578125,,,
0,409,,,1.30269455909729,,,
0,419,,,1.455276608467102,,,
0,429,,,1.1783537864685059,,,
0,439,,,1.0935481786727905,,,
0,449,,,1.3043394088745117,,,
0,459,,,1.295729398727417,,,
0,469,,,1.2896902561187744,,,
0,479,,,1.1847989559173584,,,
0,489,,,1.1583232879638672,,,
0,499,,,1.2386131286621094,,,
0,509,,,1.320906400680542,,,
0,519,,,1.3267555236816406,,,
0,529,,,1.1622891426086426,,,
0,539,,,1.1405887603759766,,,
0,549,,,1.1837351322174072,,,
0,559,,,1.2274397611618042,,,
0,569,,,1.3787627220153809,,,
0,579,,,1.1890125274658203,,,
0,589,,,1.2144343852996826,,,
0,599,,,1.1564898490905762,,,
0,609,,,1.233039379119873,,,
0,619,,,1.3074684143066406,,,
0,629,,,1.0697660446166992,,,
0,639,,,1.2719635963439941,,,
0,649,,,1.1363568305969238,,,
0,659,,,0.9224967956542969,,,
0,669,,,1.363145112991333,,,
0,679,,,1.0948410034179688,,,
0,689,,,1.390963077545166,,,
0,699,,,1.1328421831130981,,,
0,703,,,,0.5881999731063843,0.556606650352478,1.138812780380249
0,703,0.5077999830245972,1.373710036277771,,,,
1,709,,,1.261610984802246,,,
1,719,,,0.9366841316223145,,,
1,729,,,1.096171498298645,,,
1,739,,,1.2788318395614624,,,
1,749,,,1.0374184846878052,,,
1,759,,,1.0886716842651367,,,
1,769,,,1.016578197479248,,,
1,779,,,1.1724636554718018,,,
1,789,,,1.151597023010254,,,
1,799,,,1.319610834121704,,,
1,809,,,1.1079620122909546,,,
1,819,,,1.1005923748016357,,,
1,829,,,0.9934391975402832,,,
1,839,,,1.1357173919677734,,,
1,849,,,1.1777993440628052,,,
1,859,,,0.865206241607666,,,
1,869,,,0.9970105290412903,,,
1,879,,,1.2448616027832031,,,
1,889,,,0.9720020294189453,,,
1,899,,,1.1402313709259033,,,
1,909,,,1.007585048675537,,,
1,919,,,1.0086848735809326,,,
1,929,,,1.0854768753051758,,,
1,939,,,0.8619892597198486,,,
1,949,,,0.9677982330322266,,,
1,959,,,0.9294875860214233,,,
1,969,,,1.0681922435760498,,,
1,979,,,1.3009239435195923,,,
1,989,,,1.0472819805145264,,,
1,999,,,1.1167339086532593,,,
